time,V(n004),V(n003),V(n002),Id(M1),Ig(M1),I(Vgs),I(Vds),Power_Dissipation
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998184,8.871087000000001e-17,8.21565e-16,-9.998184,299.94552
989.74609375,10.0,10.0,30.0,9.998184,-1.241074e-22,1.035856e-15,-9.998184,299.94552
990.0,10.0,10.0,30.0,9.998184,-1.563753e-22,8.21565e-16,-9.998184,299.94552
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
989.74609375,10.0,10.0,30.0,9.998,-1.241074e-22,1.391127e-15,-9.998,299.94
990.0,10.0,10.0,30.0,9.998,-1.563753e-22,1.176836e-15,-9.998,299.94
0.0,10.0,10.0,30.0,9.998,1.305344e-16,4.662936e-16,-9.998,299.94
